类别 	产品小类 	性质、用途、功效 	适用农作物 												
1 	巴拿马 （511 个） 	除草剂 	240 	润丰巴拿马 											
1 	巴拿马 （511 个） 	杀虫剂 	131 	润丰巴拿马 											
1 	巴拿马 （511 个） 	杀虫剂 	131 	润丰巴拿马 											
1 	巴拿马 （511 个） 	杀菌剂 	133 	润丰巴拿马 											
1 	巴拿马 （511 个） 	其他 	7 	润丰巴拿马 											
2 	危地马拉 （165 个） 	除草剂 	69 	润丰危地马拉 											
2 	危地马拉 （165 个） 	除草剂 	69 	润丰危地马拉 											
2 	危地马拉 （165 个） 	杀虫剂 	47 	润丰危地马拉 											
2 	危地马拉 （165 个） 	杀菌剂 	49 	润丰危地马拉 											
3 	洪都拉斯 （174 个） 	除草剂 	79 	润丰洪都拉斯 											
3 	洪都拉斯 （174 个） 	除草剂 	79 	润丰洪都拉斯 											
3 	洪都拉斯 （174 个） 	杀虫剂 	45 	润丰洪都拉斯 											
3 	洪都拉斯 （174 个） 	杀菌剂 	48 	润丰洪都拉斯 											
3 	洪都拉斯 （174 个） 	其他 	2   	润丰洪都拉斯 											
3 	洪都拉斯 （174 个） 	其他 	2   	润丰洪都拉斯 											
4 	阿根廷 （175 个） 	除草剂 	90 	润丰阿根廷 											
4 	阿根廷 （175 个） 	杀虫剂 	28 	润丰阿根廷 											
4 	阿根廷 （175 个） 	杀菌剂 	31 	润丰阿根廷 											
4 	阿根廷 （175 个） 	杀菌剂 	31 	润丰阿根廷 											
4 	阿根廷 （175 个） 	除草剂 	18 	阿根廷格林公司 											
4 	阿根廷 （175 个） 	杀虫剂 	6 	阿根廷格林公司 											
4 	阿根廷 （175 个） 	杀菌剂 	2 	阿根廷格林公司 											
4 	阿根廷 （175 个） 	杀菌剂 	2 	阿根廷格林公司 											
5 	萨尔瓦多 （137 个） 	除草剂 	76 	润丰萨尔瓦多 											
5 	萨尔瓦多 （137 个） 	杀虫剂 	29 	润丰萨尔瓦多 											
5 	萨尔瓦多 （137 个） 	杀菌剂 	31 	润丰萨尔瓦多 											
5 	萨尔瓦多 （137 个） 	杀菌剂 	31 	润丰萨尔瓦多 											
5 	萨尔瓦多 （137 个） 	其他 	1 	润丰萨尔瓦多 											
6 	乌拉圭 （105 个） 	除草剂 	67 	润丰乌拉圭 											
6 	乌拉圭 （105 个） 	杀虫剂 	15 	润丰乌拉圭 											
6 	乌拉圭 （105 个） 	杀虫剂 	15 	润丰乌拉圭 											
6 	乌拉圭 （105 个） 	杀菌剂 	23 	润丰乌拉圭 											
7 	哥伦比亚 （86 个） 	除草剂 	29 	润丰哥伦比亚 											
7 	哥伦比亚 （86 个） 	杀虫剂 	20 	润丰哥伦比亚 											
7 	哥伦比亚 （86 个） 	杀虫剂 	20 	润丰哥伦比亚 											
7 	哥伦比亚 （86 个） 	杀菌剂 	36   	润丰哥伦比亚 											
7 	哥伦比亚 （86 个） 	其他 	1 	润丰哥伦比亚 											
8 	玻利维亚 （79 个） 	除草剂 	53 	润丰玻利维亚 											
8 	玻利维亚 （79 个） 	除草剂 	53 	润丰玻利维亚 											
8 	玻利维亚 （79 个） 	杀虫剂 	13 	润丰玻利维亚 											
9 	多米尼加 （55 个） 														
10 	哥斯达黎加 （52 个） 														
11 	巴拉圭 （59 个） 														
12 	墨西哥 （53 个） 														
13 	秘鲁 （56 个） 														
14 	厄瓜多尔 （45 个） 														
15 	巴西 （22 个） 														
16 	牙买加 （3 个） 														
二、大洋洲区域（356 个） 	二、大洋洲区域（356 个） 	二、大洋洲区域（356 个） 	二、大洋洲区域（356 个） 	二、大洋洲区域（356 个） 											
二、大洋洲区域（356 个） 	二、大洋洲区域（356 个） 	二、大洋洲区域（356 个） 	二、大洋洲区域（356 个） 	二、大洋洲区域（356 个） 											
1 	澳大利亚 （267 个） 	除草剂 	110   	润科国际 											
1 	澳大利亚 （267 个） 	杀虫剂 	26 	润科国际 											
1 	澳大利亚 （267 个） 	杀菌剂 	30 	润科国际 											
1 	澳大利亚 （267 个） 	杀菌剂 	30 	润科国际 											
1 	澳大利亚 （267 个） 	其它 	4 	润科国际 											
1 	澳大利亚 （267 个） 	除草剂 	74 	澳格公司 											
1 	澳大利亚 （267 个） 	杀虫剂 	7 	澳格公司 											
1 	澳大利亚 （267 个） 	杀虫剂 	7 	澳格公司 											
1 	澳大利亚 （267 个） 	杀菌剂 	11 	澳格公司 											
1 	澳大利亚 （267 个） 	其它 	5 	澳格公司 											
2 	新西兰 （89 个） 	除草剂 	52 	润科国际 											
2 	新西兰 （89 个） 	除草剂 	52 	润科国际 											
2 	新西兰 （89 个） 	杀虫剂 	12 	润科国际 											
2 	新西兰 （89 个） 	杀菌剂 	23 	润科国际 											
2 	新西兰 （89 个） 	其它 	2 	润科国际 											
2 	新西兰 （89 个） 	其它 	2 	润科国际 											
三、亚洲区域（330 个） 	三、亚洲区域（330 个） 	三、亚洲区域（330 个） 	三、亚洲区域（330 个） 	三、亚洲区域（330 个） 											
1 	印尼 	除草剂 	46   	润丰印尼 											
2 															
3 															
4 															
5 															
6 															
7 															
四、非洲区域（167 个） 	四、非洲区域（167 个） 	四、非洲区域（167 个） 	四、非洲区域（167 个） 	四、非洲区域（167 个） 											
1 	加纳 （71 个） 	除草剂 	38 	润丰加纳 											
1 	加纳 （71 个） 	杀虫剂 	19 	润丰加纳 											
1 	加纳 （71 个） 	杀虫剂 	19 	润丰加纳 											
1 	加纳 （71 个） 	杀菌剂 	14 	润丰加纳 											
2 	尼日利亚 （42 个） 	除草剂 	25 	润丰尼日利亚 											
2 	尼日利亚 （42 个） 	杀虫剂 	8 	润丰尼日利亚 											
2 	尼日利亚 （42 个） 	杀虫剂 	8 	润丰尼日利亚 											
2 	尼日利亚 （42 个） 	杀菌剂 	9 	润丰尼日利亚 											
3 	南非 （48 个） 	除草剂 	37 	润丰南非 											
3 	南非 （48 个） 	杀虫剂 	5 	润丰南非 											
3 	南非 （48 个） 	杀虫剂 	5 	润丰南非 											
3 	南非 （48 个） 	杀菌剂 	6 	润丰南非 											
4 	莫桑比克 （6 个） 	除草剂 	5 	润丰莫桑比克 											
4 	莫桑比克 （6 个） 	杀虫剂 	1 	润丰莫桑比克 											
4 	莫桑比克 （6 个） 	杀虫剂 	1 	润丰莫桑比克 											
合计 	- 	- 	2,630 	- 											
															
杀菌剂 	13 														
除草剂 	33 	润丰多米尼加 													
杀虫剂 	8 	润丰多米尼加 													
杀虫剂 	8 	润丰多米尼加 													
杀菌剂 	14 	润丰多米尼加 													
除草剂 	5 	哥斯达黎加黎柏公司 													
杀虫剂 	8 	哥斯达黎加黎柏公司 													
杀虫剂 	8 	哥斯达黎加黎柏公司 													
杀菌剂 	1 	哥斯达黎加黎柏公司 													
除草剂 	17 	润丰哥斯达黎加 													
杀虫剂 	8 	润丰哥斯达黎加 													
杀虫剂 	8 	润丰哥斯达黎加 													
杀菌剂 	13 	润丰哥斯达黎加 													
除草剂 	28 	润丰巴拉圭 													
杀虫剂 	13 	润丰巴拉圭 													
杀虫剂 	13 	润丰巴拉圭 													
杀菌剂 	18 	润丰巴拉圭 													
除草剂 	37 	润丰墨西哥 													
杀虫剂 	5 	润丰墨西哥 													
杀虫剂 	5 	润丰墨西哥 													
杀菌剂 	11 	润丰墨西哥 													
除草剂 	15 	润丰秘鲁 													
杀虫剂 	21 	润丰秘鲁 													
杀虫剂 	21 	润丰秘鲁 													
杀菌剂 	20 	润丰秘鲁 													
除草剂 	23 	润丰厄瓜多尔 													
杀虫剂 	5 	润丰厄瓜多尔 													
杀虫剂 	5 	润丰厄瓜多尔 													
杀菌剂 	17 	润丰厄瓜多尔 													
除草剂 	19 	润丰巴西 													
杀虫剂 	1 	润丰巴西 													
杀虫剂 	1 	润丰巴西 													
杀菌剂 	2 	润丰巴西 													
除草剂 	3 	润丰牙买加 													
															
（82 个） 	杀虫剂 	16   													
（82 个） 	杀菌剂 	19   													
（82 个） 	其它 	1 													
（82 个） 	其它 	1 													
缅甸 （65 个） 	除草剂 	27 	润丰股份 												
缅甸 （65 个） 	杀虫剂 	29 	润丰股份 												
缅甸 （65 个） 	杀菌剂 	9 	润丰股份 												
缅甸 （65 个） 	杀菌剂 	9 	润丰股份 												
柬埔寨 （73 个） 	除草剂 	33 	润丰柬埔寨 												
柬埔寨 （73 个） 	杀虫剂 	27 	润丰柬埔寨 												
柬埔寨 （73 个） 	杀菌剂 	13 	润丰柬埔寨 												
柬埔寨 （73 个） 	杀菌剂 	13 	润丰柬埔寨 												
泰国 （39 个） 	除草剂 	29 	润丰泰国 												
泰国 （39 个） 	杀虫剂 	4 	润丰泰国 												
泰国 （39 个） 	杀菌剂 	6 	润丰泰国 												
泰国 （39 个） 	杀菌剂 	6 	润丰泰国 												
马来西亚 （44 个） 	除草剂 	28 	润丰马来西亚 												
马来西亚 （44 个） 	杀虫剂 	12 	润丰马来西亚 												
马来西亚 （44 个） 	杀菌剂 	4 	润丰马来西亚 												
马来西亚 （44 个） 	杀菌剂 	4 	润丰马来西亚 												
印度 （12 个） 	除草剂 	2 	润丰印度 												
印度 （12 个） 	杀虫剂 	7 	润丰印度 												
印度 （12 个） 	杀菌剂 	3 	润丰印度 												
印度 （12 个） 	杀菌剂 	3 	润丰印度 												
菲律宾 （15 个） 	除草剂 	7 	润丰菲律宾 												
菲律宾 （15 个） 	杀虫剂 	4 	润丰菲律宾 												
菲律宾 （15 个） 	杀菌剂 	4 	润丰菲律宾 												
菲律宾 （15 个） 	杀菌剂 	4 	润丰菲律宾 												
															
序号 	证书名称 	证书编号 	颁发机构 	许可事项 	有效期至 	权利人 									
1 	危险化学 品登记证 	370712136 	山东省危险化学品登记中心、国家安全生产监督管理总局化学品登记中心 	2-氯-4-乙氨基-6-异丙氨基-1,3,5-三嗪、2,4-二氯苯氧基乙酸等 	2018.12.15 	公司 									
1 	危险化学 品登记证 	370712136 	山东省危险化学品登记中心、国家安全生产监督管理总局化学品登记中心 	2-氯-4-乙氨基-6-异丙氨基-1,3,5-三嗪、2,4-二氯苯氧基乙酸等 	2018.12.15 	公司 									
2 	监控化学品生产特别许可证书 	HW-C0160053 	中华人民共和国工业和信息化部 	三氯化磷、亚磷酸二甲酯 	2019.8.5 	公司 									
3 	监控化学品生产特别许可证书 	HW-D37G0055 	中华人民共和国工业和信息化部 	草甘膦、双甘膦 	2019.8.5 	公司 									
4 	监控化学品生产特别许可证书 	HW-D37G0055 	中华人民共和国工业和信息化部 	草铵膦 	2022.11.30 	公司 									
5 	监控化学品生产特别许可证书 	HW-B0330004 	中华人民共和国工业和信息化部 	甲基亚膦酸二乙酯 	2022.11.30 	公司 									
6 	非药品类易制毒化学品生产备案证明 	鲁3S37070007014 	潍坊市安全生产监督管理局 	硫酸、盐酸 	2020.12.30 	公司 									
7 	危险化学品登记证 	640210189 	宁夏回族自治区危险化学品登记办公室、国家安全生产监督管理总局化学品登记中心 	三氯化磷、敌稗、莠灭净等 	2020.5.30 	宁夏 格瑞 									
8 	监控化学品生产特别许可证书 	HW-C0280005 	中华人民共和国工业和信息化部 	三氯化磷 	2020.9.18 	宁夏 格瑞 									
9 	危险化学品 登记证 	370210303 	山东省危险化学品登记中心、国家安全生产监督管理总局化学品登记中心 	苯菌灵可湿性粉剂、灭多威可溶液剂等 	2019.8.17 	青岛 润农 									
															
序号 	证书名称 	证书编号 	颁发机构 	许可事项 	有效期至 	权利人 									
1 	安全生产 许可证 	（鲁）WH 安许证字[2017]070246号 	山东省安全生产监督管理局 	【注】 	2020.12.30 	公司 									
1 	安全生产 许可证 	（鲁）WH 安许证字[2017]070246号 	山东省安全生产监督管理局 	【注】 	2020.12.30 	公司 									
2 	安全生产 许可证 	（宁）WH安许证字[2017]000025（H1）号 	宁夏回族自治区安全生产监督管理局 	三氯化磷 	2020.6.18 	宁夏 格瑞 									
															
序号 	证书名称 	证书编号 	颁发机构 	许可事项 	有效期至 	权利人 									
1 	中华人民共和国海关报关单位注册登记证书 	3707933849 	中华人民共和国潍坊海关 	企业经营类别：进出口货物收发货人 	长期 	公司 									
1 	中华人民共和国海关报关单位注册登记证书 	3707933849 	中华人民共和国潍坊海关 	企业经营类别：进出口货物收发货人 	长期 	公司 									
2 	中华人民共和国海关报关单位注册登记证书 	3701364096 	中华人民共和国济南海关 	企业经营类别：进出口货物收发货人 	长期 	润科 国际 									
3 	中华人民共和国海关报关单位注册登记证书 	6402910048 	中华人民共和国银川海关 	企业经营类别：进出口货物收发货人 	长期 	宁夏 格瑞 									
4 	中华人民共和国海关报关单位注册登记证书 	37299609JG 	中华人民共和国青岛大港海关 	企业经营类别：进出口货物收发货人 	长期 	青岛 润农 									
															
序号 	证书名称 	证书编号 	颁发机构 	有效期至 	权利人 										
1 	高新技术企业证书 	GR201537000408 	山东省科学技术厅、山东省财政厅、山东省国家税务局、山东省地方税务局 	2018.12.9 	公司 										
1 	高新技术企业证书 	GR201537000408 	山东省科学技术厅、山东省财政厅、山东省国家税务局、山东省地方税务局 	2018.12.9 	公司 										
															
序号 	认证项目 	证书号 	认证/颁发机关 	认证范围 	有效期至 	权利人 									
1 	安全标准化二级企业证书 	鲁 AQBWH II 201600017 	山东省安全生产监督管理局 	- 	2019.4 	公司 									
1 	安全标准化二级企业证书 	鲁 AQBWH II 201600017 	山东省安全生产监督管理局 	- 	2019.4 	公司 									
2 	ISO 9001:2015 质量管理体系认证证书 	10416Q20468R2M 	山东世通质量认证有限公司 	农药的原药及其制剂的设计开发、生产、销售和服务 	2019.4.10 	公司 									
3 	ISO 14001:2015环境管理体系认证证书 	10417E10082R3M 	山东世通质量认证有限公司 	农药的原药及其制剂设计开发、生产及相关环境管理活动 	2020.4.10 	公司 									
4 	GB/T 28001-2011/OHSAS 18001:2007职业健康安全管理体系认证证书 	10417S20065R3M 	山东世通质量认证有限公司 	农药的原药及其制剂设计开发、生产、销售及相关职业健康安全管理活动 	2020.4.10 	公司 									
5 	GB/T 29490-2013 知识产权管理体系认证证书 	18116IP0152R0L 	中规（北京）认证有限公司 	除草剂原药及其制剂的研发设计、采购、生产和销售的知识产权管理 	2019.7.28 	公司 									
6 	中国农药行业HSE 管理体系合规企业证书 A 	025 	中国农药工业协会 	- 	2019.10 	公司 									
7 	ISO 9001:2015 质量管理体系认证证书 	10417Q20261R0M 	山东世通质量认证有限公司 	农药制剂产品的设计开发、生产和服务 	2018.4.24 	青岛润农 									
8 	ISO 14001:2015环境管理体系认证证书 	10417E10097R0S 	山东世通质量认证有限公司 	农药制剂产品的设计开发、生产及相关环境管理活动 	2018.4.24 	青岛润农 									
9 	GB/T 28001-2011/OHSAS 18001:2007职业健康安全管理体系认证 	10417S20077R0S 	山东世通质量认证有限公司 	农药制剂产品的设计开发、生产及相关职业健康安全管理活动 	2018.4.24 	青岛润农 									
10 	ISO 14001:2015环境管理体系认证证书 	10417E10136R0M 	山东世通质量认证有限公司 	农药原药产品设计开发、生产及相关环境管理活动 	2020.5.9 	宁夏格瑞 									
11 	ISO 9001:2015 质量管理体系认证证书 	10417Q20362R0M 	山东世通质量认证有限公司 	农药原药产品设计开发、生产和服务 	2020.5.9 	宁夏格瑞 									
12 	GB/T 28001-2011/OHSAS 18001:2007职业健康安全管理体系认证 	10417S20113R0M 	山东世通质量认证有限公司 	农药原药产品设计开发、生产及相关职业健康安全管理活动 	2020.5.9 	宁夏格瑞 									
															
核心技术名称 	主要研发人员 	技术特点 	技术阶段 	用途 	对应专利及非专利技术 										
2,4-D 产品生产新工艺 	陈素红，陈琦，刘卫聪，陈桂元，孙国冉，高技峰，杨剑锋，侯永生 	该工艺能够简化生产操作，改善生产环境，实现生产过程自动化，提高原料利用率。 	产业化 应用 	2,4-D 原药生产 	一种 2,4-二氯苯氧乙酸的合成方法 ZL201310107222.9 										
2,4-D 产品生产新工艺 	陈素红，陈琦，刘卫聪，陈桂元，孙国冉，高技峰，杨剑锋，侯永生 	该工艺能够简化生产操作，改善生产环境，实现生产过程自动化，提高原料利用率。 	产业化 应用 	2,4-D 原药生产 	一种 2,4-二氯苯氧乙酸的合成方法 ZL201310107222.9 										
氧气催化氧化法制备草甘膦工艺 	李志清，孙国庆，陈琦，袁良国，邹宗加，侯永生，赵广理，宋吉奎，王之波，杨剑锋 	该工艺能够使 反 应 时 间 缩 短30%，产品收率提高3%以上，草甘膦原药含量稳定在97%以上，极大提高了设备利用率，降低了母液中甲醛含量。 	产业化 应用 	草甘膦原药生产 	一种催化氧 化双甘膦制备草甘 膦的方法 ZL200910229873.9 										
麦草畏合成新工艺 	陈桂元，侯永生，孙国庆，李志清，陈琦，刘强，孙国冉，邹宗加，张杰，童志强，胡义山，王庆伟，韩明磊 	该工艺能够降低反应压力，缩短反应时间，提高原料利用率，减少50%废水排放量，吨产品蒸汽消耗降低8-10吨。 	产业化 应用 	麦草畏原药生产 	一种改进的 3,6-二氯水杨酸的 制备方法 ZL201410350824.1 一种连续化生产 2,5-二氯苯酚的方法及系统 ZL201510655658.0 										
2 甲 4 氯定向氯化技术 	李宗清，侯永生，孙国庆，李志清，孙国冉，陈琦，刘强，邹宗加，刘凯，吴清尧，崔杰尧，程波，凌晓光 	该技术能够使氯化选择性提高7%，产品收率提高25%，不使用有机溶剂，更为经济、环保。 	产业化 应用 	2 甲 4 氯原药生产 	一种选择性 氯化的方法 ZL201310264105.3 										
莠灭净清洁生产技	张杰，侯永生，孙国庆，李志清，孙国冉，陈琦，	该技术工艺流程简单，反应易控，产品收率提高至99%，降低	产业化 应用 	莠灭净原药生产 	莠灭净的 生产方法及装置 ZL20131043										
术 	刘强，邹宗加，赵广理，迟志龙，牟红海，程波，王庆伟 	了原料及能量消耗，消除了原工艺的恶臭气味。 													
环境友好型除草剂2,4-滴二甲胺盐可溶性粒剂生产技术 	吴勇，侯永生，孙国庆，李志清，陈琦，刘强， 孙国冉，邹宗加，许立卫，高技峰，张付敏，王友信，韩明磊 	该技术可生产2,4-D二甲胺盐可溶性粒剂，该剂型填补了国际空白，产品有效成分含量达96%，对非耕地阔叶杂草防除效果达90%以上。 	产业化 应用 	2,4-D SG制剂生产 	一种 2,4-D 盐水溶性粒剂及其制备方法 ZL201210016942.X 										
环境友好型麦草畏WSG 生产技术 	吴勇，侯永生，孙国庆，李志清，陈琦，刘强，孙国冉，邹宗加，陈帅，高技峰，张付敏，赵国田，唐丽莉 	该生产技术反应条件温和，工艺流程短、转化率高、生产成本低、环保性好。 	产业化 应用 	麦草畏 SG制剂生产 	一种麦草畏 钠盐制剂的制备方 法及制备的麦草畏 钠盐制剂 ZL201310464932.7 										
莠 灭 净500g/L SC生产技术 	吴勇，侯永生，孙国庆，李志清，陈琦，刘强，孙国冉，邹宗加，张青华，路雪林，李现伟，高技峰，赵国田，马华青 	该生产技术摒弃了SC老工艺条件，采用新配方和砂磨，解决了莠灭净SC在生产和储运过程中易膏化的问题。 	产业化 应用 	莠灭净 SC制剂生产 	一种悬浮剂 的制备方法 ZL201310269429.6 										
嗜盐菌处理 2,4-D高盐含酚废水技术 	袁从伟，李志清，孙国庆，陈琦，孙国冉，邹宗加，侯永生，凌晓光，王海燕，朱彩云，陈蕾，赵恒民，韩明磊 	培养出的嗜盐菌可直接处理含盐量12%的 2,4-D高 盐 含 酚 废水，使酚类物质去除率达99.9%以上，COD去除率达95%以上，再经深度处理废水可达标排放。 	产业化 应用 	2,4-D 废水处理 	一种嗜盐菌 菌剂及其制备方法 和固定有菌剂的生 物处理系统及其应用 ZL201110003844.8 										
三嗪类除草剂高盐有 机废水生物处理技术 	李志清，孙国庆，侯永生，凌晓光，高技峰，邹宗加，任光明，夏振凤，王庆伟 	培养出的工程菌可直接处理12%盐含量的三嗪类高盐有机废水，可使废水达标排放。 	中试 	三嗪类除草剂废水处理 	嗜盐菌菌剂 及其制备、含该菌剂的生物处理系统及 该菌剂在处理三嗪 类废水中的应用 ZL201410118901.0 										
草甘膦、双甘膦废水的资源化处理技术 	李志清，侯永生，孙国庆，牛月利，孙国冉，陈琦，刘强，邹宗加，凌晓光，王海燕，任光明，高技峰，孙伟，何强，王庆伟 	通过对草甘膦和双甘膦废水进行热氧化处理，可以制备焦磷酸钠，并同时副产蒸汽，实现了草甘膦和双甘膦废水的资源化、无害化处理。 	产业化 应用 	草甘膦和双甘膦废水处理 	草甘膦母液 的处理方法及装置 ZL201310166948.X 										
农药联产氯化钠精制技术 	孙国庆，高技峰，李志清，宋吉奎，凌晓光，杨尚祚，马华青，侯永生，孙国冉，李盼盼，邹宗加，王杜瑞，张文华 	该技术可将农药联产氯化钠中的有机物杂质去除，得到的氯化钠可直接用于下游生产过程，解决农药联产氯化钠对环境的威胁。 	产业化 应用 	联产氯化钠的资源化处理 	一种工业废 水中无机盐的资源 化处理方法 ZL201410009835.3 										
															
序号 	成果名称 	组织鉴定单位 	鉴定批准日期 	证书号 	技术水平 										
1 	新工艺生产 2,4-D 产品的研究 	山东省科技厅 	2007.9.30 	鲁科成鉴字[2007]第720 号 	国际先 进水平 										
1 	新工艺生产 2,4-D 产品的研究 	山东省科技厅 	2007.9.30 	鲁科成鉴字[2007]第720 号 	国际先 进水平 										
2 	氧气催化氧化法制备草甘膦的研究 	山东省科技厅 	2010.9.10 	鲁科成鉴字[2010]第543 号 	国际先 进水平 										
3 	嗜盐菌处理 2,4-D 高盐含酚废水的技术及应用 	山东省科技厅 	2011.5.13 	鲁科成鉴字[2011]第208 号 	国际领 先水平 										
4 	环 境 友 好 型 除 草 剂2,4-滴二 甲胺盐可溶性粒剂 	山东省科技厅 	2013.1.24 	鲁科成鉴字[2012]第1496 号 	国际领 先水平 										
5 	农药联产氯化钠精制技术及其在烧碱生产中的应用 	中国石油和化工工业联合会 	2015.8.14 	中石化联鉴字[2014]第090 号 	国际先 进水平 										
															
项目 	2017 年度 	2016 年度 	2015 年度 												
核心技术产品收入 	344,044.31 	241,485.96   	173,891.97   												
核心技术产品收入 	344,044.31 	241,485.96   	173,891.97   												
营业收入 	504,652.27 	380,187.82   	290,668.05   												
核心技术产品收入占比 	68.17% 	63.52% 	59.82% 												
															
项目 	2017 年度 	2016 年度 	2015 年度 												
研发投入（万元） 	14,536.41 	10,751.25   	8,371.11   												
研发投入（万元） 	14,536.41 	10,751.25   	8,371.11   												
营业收入（万元） 	504,652.27 	380,187.82   	290,668.05   												
占营业收入比例 	2.88% 	2.83% 	2.88% 												
															
项目名称 	合作情况 	技术特点 	研发阶段 	应用领域 											
玉米田新型除草剂 	自主研发 	提高氧化选择性 	完成小试 	除草剂 											
玉米田新型除草剂 	自主研发 	提高氧化选择性 	完成小试 	除草剂 											
灭生性脲类除草剂 	自主研发 	采用高效催化剂，缩短生产周期 	完成中试 	除草剂 											
玉米、甘蔗田土壤处理剂 	自主研发 	采用高效催化剂，提高选择性 	完成小试 	除草剂 											
大豆、玉米田高效除草剂 	自主研发 	采用高效催化剂，提高加氢选择性 	完成小试 	除草剂 											
麦田高效除草剂 	自主研发 	采用高效催化剂，提高加氢选择性 	完成小试 	除草剂 											
防 除 稗草 的 高 效 除草剂 	自主研发 	实现一步合成 	完成中试 	除草剂 											
大豆田土壤处理剂 	自主研发 	采用高效催化剂，提高加氢选择性 	完成小试 	除草剂 											
大豆田除草剂 	自主研发 	采用新的工程技术，提高收率 	完成小试 	除草剂 											
广谱保护性杀菌剂 	自主研发 	采用高效催化剂，提高氯化选择性 	完成小试 	杀菌剂 											
光谱高效杀菌剂 	自主研发 	采用新工艺，新路线，提高选择性及收率 	完成小试 	杀菌剂 											
															
序号 	背景、原因、发展过程 	处理结果以及金额、内容 	整改情况 												
1 	由于公司年产 25000 吨/年草甘膦 SG、60000KL 草甘膦水剂项目，固体制剂项目，6000KL悬浮剂、7000 吨/年可湿性粉剂、2700 吨/年可分散颗粒剂项目，制剂产品加工（一期）项目四个项目逾期未补办环评审批手续，违反了《中华人民共和国环境影响评价法》第二十五条规定，被潍坊市环境保护局滨海经济开发区分局查实并进行处罚。 	2015 年 6 月 12 日，潍坊市环境保护局滨海经济开发区分局分别作出潍滨环罚字[2015]0612-1 号、0612-2 号、0612-3 号、0612-4 号《行政处罚决定书》，要求公司立即停止建设上述项目，并就每个项目罚款 5 万元。 	针对该处罚，公司立即停止了 4 个项目的建设，向环保主管部门提交了环评审批材料，并于 2015 年 6月 10 日就该 4个项目全部通过了潍坊市环境保护局滨海经济开发区分局的环评审批。同时公司及时足额缴纳了相应罚款。 												
1 	由于公司年产 25000 吨/年草甘膦 SG、60000KL 草甘膦水剂项目，固体制剂项目，6000KL悬浮剂、7000 吨/年可湿性粉剂、2700 吨/年可分散颗粒剂项目，制剂产品加工（一期）项目四个项目逾期未补办环评审批手续，违反了《中华人民共和国环境影响评价法》第二十五条规定，被潍坊市环境保护局滨海经济开发区分局查实并进行处罚。 	2015 年 6 月 12 日，潍坊市环境保护局滨海经济开发区分局分别作出潍滨环罚字[2015]0612-1 号、0612-2 号、0612-3 号、0612-4 号《行政处罚决定书》，要求公司立即停止建设上述项目，并就每个项目罚款 5 万元。 	针对该处罚，公司立即停止了 4 个项目的建设，向环保主管部门提交了环评审批材料，并于 2015 年 6月 10 日就该 4个项目全部通过了潍坊市环境保护局滨海经济开发区分局的环评审批。同时公司及时足额缴纳了相应罚款。 												
2 	因公司东厂未采取有效污染防治措施，向大气排放异味气体，被潍坊市环境保护局滨海经济开发区分局查实并进行处罚。 	2015 年 9 月 8 日，潍坊市环境保护局滨海区分局作出《行政处罚决定书》（潍滨环罚字[2015]第 0908-3号），公司被处以：立即停止违法行为；罚款 5 万元。 	针对该处罚，公司立即新增加了废气高功率窄脉冲装置，废气活性炭吸附装置，并将涉及到有异味物料的设备、管线更换为膨胀四氟垫，确保设备、管线无泄漏，使废气达标排放。同时公司及时足额缴纳了相应罚款。 												
3 	因公司百草枯水剂项目未办理	2015 年 11 月 10 日，潍坊市环境保	针对该处罚，公司立即停												
															
环评审批手续，擅自建设并投产，违反了《建设项目环境保护管理条例》第九条和第二十条规定，被潍坊市环境保护局滨海区分局查实并进行处罚。 	护局滨海区分局作出《行政处罚决定书》（潍滨环罚字[2015]第 1110-2号），公司被处以：百草枯水剂项目立即停止生产；罚款 10 万元。 	止了该项目的生产，并积极根据环保主管部门相关要求进行整改。同时公司及 时 足 额 缴 纳 了 相 应 罚款。 													
															
序号 	背景、原因、发展过程 	处理结果以及金额、内容 	整改情况 												
1 	因公司未采取有效污染防治措施，造成了厂界异味污染，违反《中华人民共和国大气污染防治法》第四十条规定，被潍坊市环境保护局滨海区分局查实并责令：（1）立即停止违法行为；（2）采取有效工程治理措施，消除异味污染，按规定处置危险废物，限期完成整改。 	2016 年 9 月 1 日，潍坊市环境保护局滨海区分局作出《环境违法行为限期改正通知书》（潍滨环限改字[2016]第 42 号），公司因东厂厂界异味污染，公司被责令立即停止违法行为并限期完成整改。 	针对该事项，公司在相关装置上新增了高功率脉冲废气处理设备，对废气进行净化处理，同时采取加强排放检测以及相关生产、环保设备的检测，确保正常运行，并加强危险废物的处置管理，避免对于环境造成不利影响。 												
1 	因公司未采取有效污染防治措施，造成了厂界异味污染，违反《中华人民共和国大气污染防治法》第四十条规定，被潍坊市环境保护局滨海区分局查实并责令：（1）立即停止违法行为；（2）采取有效工程治理措施，消除异味污染，按规定处置危险废物，限期完成整改。 	2016 年 9 月 1 日，潍坊市环境保护局滨海区分局作出《环境违法行为限期改正通知书》（潍滨环限改字[2016]第 42 号），公司因东厂厂界异味污染，公司被责令立即停止违法行为并限期完成整改。 	针对该事项，公司在相关装置上新增了高功率脉冲废气处理设备，对废气进行净化处理，同时采取加强排放检测以及相关生产、环保设备的检测，确保正常运行，并加强危险废物的处置管理，避免对于环境造成不利影响。 												
